p_id,name,price,colour,brand,img,ratingcount,avg_rating,description,p_attributes,rating_category,price_category
P1269,Fablestreet Olive Green Knitted Pencil Skirt,1995.0,Nan,FABLESTREET,http://assets.myntassets.com/assets/images/productimage/2021/1/21/9bd9afd7-e489-431a-b334-718a4740ba001611211636061-1.jpg,110,4.4,polive green solid midrise pencil skirt has elasticated belt back and a zip closurebrfeaturesbrcomfortable stretchable breathable and antiwrinklebrcolour may vary slightly according to screen settings and resolutionppnylon rayon is comfortable stretchable breathable and antiwrinkle machine wash with similar colours do not bleach do not iron do not tumble dryppthe model height 57 is wearing a size 28p,addons na body shape id 424 body or garment size tofit denotes body measurements in character na closure slipon fabric type na hemline straight knit or woven knitted length knee length lining na main trend new basics number of pockets na occasion formal pattern solid print or pattern type solid slit detail na sub trend new basics surface styling na sustainable regular transparency opaque type pencil wash care machine wash,GOOD,Medium
P1270,Chkokko Women Black Sports Shorts,2665.0,Black,CHKOKKO,http://assets.myntassets.com/assets/images/15406744/2021/9/8/ecc2be34-17f1-4709-8d09-4a2b344e34a81631096226529chkokkowomenblacksportsshorts1.jpg,80,4.8,Black solid midrise sports shorts has 4 pockets drawstring closureRegular Fit br The model height 58 is wearing a size 28PolyesterbrMachine wash,body or garment size tofit denotes body measurements in character na closure drawstring fabric polyester fabric 2 na fit regular fit knit or woven knitted length above knee main trend new basics multipack set na number of pockets 4 occasion casual pattern solid print or pattern type solid sport na surface styling na sustainable regular technology na type sports shorts waist rise midrise wash care machine wash,GOOD,High
P1271,Gracit Women Navy Blue Biker Shorts,599.0,Navy Blue,GRACIT,http://assets.myntassets.com/assets/images/15386576/2021/9/7/586e600d-3b82-4d51-b1e9-81047a6bb2ad1630997755095womennavyfourwaysupercommedlycracyclingshorts1.jpg,750,4.2,Navy blue solid midrise biker shorts has slipon closureCotton br Machine washRegular Fit br The model height 58 is wearing a size 28,body or garment size tofit denotes body measurements in character na closure slipon fabric cotton fabric 2 na fit regular fit knit or woven knitted length above knee main trend new basics multipack set na number of pockets na occasion sports pattern solid print or pattern type solid sport cycling surface styling na sustainable regular technology na type biker shorts waist rise midrise wash care machine wash,GOOD,Low
P1272,Tokyo Talkies Women Brown Mid-Rise Regular Shorts,899.0,Brown,TOKYO TALKIES,http://assets.myntassets.com/assets/images/15092136/2021/8/10/5d69a6f1-0581-4ef0-bde2-93fc6ae517cd1628582180099tokyotalkieswomenbrownmid-riseregularshorts1.jpg,730,4.2,ULLIBROWN SOLID MIDRISE REGULAR SHORTSLILI2 POCKETSLILISLIPON CLOSURELIULREGULAR FIT BR THE MODEL HEIGHT 58 IS WEARING A SIZE 28VISCOSE RAYONNBSPBRMACHINE WASH,body or garment size tofit denotes body measurements in character na closure slipon fabric viscose rayon fabric 2 na fit regular fit knit or woven woven length above knee main trend new basics multipack set na number of pockets 2 occasion casual pattern solid print or pattern type solid sport na surface styling na sustainable regular technology na type regular shorts waist rise midrise wash care machine wash,GOOD,Low
P1273,River Of Design Jeans Women White Denim A-Line Denim Skirt,1299.0,White,RIVER OF DESIGN JEANS,http://assets.myntassets.com/assets/images/15153680/2021/8/16/1f95bdab-37aa-4ef1-8422-fe114a4ea08a1629129028491womenwhitepurecottona-lineskirt1.jpg,240,4.1,pWhite Solid ALine Knee Length Skirt has a button closure straight hemppThe model height 58 is wearing a size 28p100 Cotton DenimbrMachine wash,addons na body shape id 443324333424 body or garment size tofit denotes body measurements in character na closure button fabric pure cotton fabric type denim hemline straight knit or woven woven length knee length lining na main trend new basics number of pockets 2 occasion casual pattern solid print or pattern type solid slit detail back slit sub trend new basics surface styling na sustainable regular transparency opaque type aline wash care machine wash,GOOD,Medium
P1274,H&M Women Beige & Grey Solid Sweatshirt Shorts,1299.0,Beige,H&M,http://assets.myntassets.com/assets/images/17185466/2022/2/17/d583bbcd-2d90-4dea-a69e-569c3153fed61645075075652sweatshirtshorts1.jpg,90,4.6,pShorts in lightweight sweatshirt fabric made from a cotton and recycled polyester blend Regular elasticated drawstring waist pockets in the side seams and straight legs with slits in one sidep80 Cotton 20 PolyesterbrMachine wash,body or garment size tofit denotes body measurements in character na closure drawstring fabric cotton fabric 2 polyester fit regular fit knit or woven knitted length above knee main trend new basics multipack set na number of pockets 2 occasion casual pattern solid print or pattern type solid sport na surface styling na sustainable regular technology na type regular shorts waist rise highrise wash care machine wash,GOOD,Medium
P1275,Off Label Rose Corduroy Pure Cotton Straight Skirt,1699.0,Rose,OFF LABEL,http://assets.myntassets.com/assets/images/13451860/2021/2/15/e2880e12-ef6d-4860-885c-bc780f0acf381613384439029-off-label-women-pink-solid-corduroy-skirt-2551613384437139-1.jpg,1340,3.8,Rose solid corduroy knitted straight skirt has a waistband with concealed zip closure and a straight hemThe model height 58 is wearing a size 26100 CottonbrMachine wash,addons na body shape id 424 body or garment size tofit denotes body measurements in character na closure zip fabric pure cotton fabric type corduroy hemline straight knit or woven woven length knee length lining na main trend new basics number of pockets na occasion casual pattern solid print or pattern type solid slit detail back slit sub trend new basics surface styling na sustainable regular transparency opaque type pencil wash care machine wash wedding na,AVERAGE,Medium
P1276,Blissclub Women Navy Ultimate Cycling Shorts With 3 Pockets,2299.0,Navy Blue,BLISSCLUB,http://assets.myntassets.com/assets/images/17056634/2022/2/5/40032e3f-b6ae-43dc-8ef8-0c3d7e1aa5741644038677305blissclubwomennavyblueskinnyfithigh-risecyclingsportsshorts1.jpg,120,4.6,Navy blue solid highrise biker shorts has 2 pockets slipon closurebrbrThe Ultimate Cycling Shorts are crafted in our signature moisturewicking lightweight and breathable CloudSoft fabric Composed of 27 spandex and 73 polyester our aboveknee length highwaisted cycling shorts give you superior stretch and compressionbrnbspbrThe unique tight knitting technique prevents transparency making The Ultimate Cycling Shorts 100 squatproofbrnbspbrIt has THREE pockets two deep side pockets and one zippered back pocket so that you can go handsfree all day long It comes with a crotchgusset that prevents cameltoe and flatlock seams designed to reduce chafing and ensure no rashesbrnbspAt BlissClub its our mission to spread happiness through movement We create products so that every moment of a womans active life is a happy onePolyesterbrMachine WashSkinny Fit br The model height 58 is wearing a size 28,body or garment size tofit denotes body measurements in character na closure slipon fabric polyester fabric 2 na fabric type na fit skinny fit knit or woven woven length above knee main trend new basics multipack set na number of pockets 2 occasion sports pattern solid print or pattern type solid sport cycling sport team na surface styling na sustainable regular technology na type biker shorts waist rise highrise wash care machine wash,GOOD,High
P1277,Gracit Women Black White & Beige Set Of 3 Biker Shorts,1797.0,Black,GRACIT,http://assets.myntassets.com/assets/images/16083230/2021/11/13/baa15c3d-fcbc-4d63-8e6f-fc2b06def1491636791920056gracitwomenblackcyclingsportsshorts1.jpg,290,4.4,BSET OF 3 BIKER SHORTSBULLIBLACK SOLID MIDRISE BIKERNBSPSHORTS HAS A SLIPON CLOSURELILIWHITE SOLID MIDRISE BIKERNBSPSHORTS HAS A SLIPON CLOSURELILIBEIGE SOLID MIDRISE BIKERNBSP SHORTS HAS A SLIPON CLOSURELIULREGULAR FIT BR THE MODEL HEIGHT 58 IS WEARING A SIZE 28COTTONNBSPBRMACHINE WASH,body or garment size tofit denotes body measurements in character na closure slipon fabric cotton fabric 2 na fit regular fit knit or woven knitted length above knee main trend new basics multipack set 3 number of pockets na occasion sports pattern solid print or pattern type solid sport cycling surface styling na sustainable regular technology na type biker shorts waist rise midrise wash care machine wash,GOOD,Medium
P1278,Jinfo Women Black Solid Cycling Shorts Pack Of 3,1797.0,Black,JINFO,http://assets.myntassets.com/assets/images/17760310/2022/4/5/ddad8e7e-c115-43e8-a7b8-f3466c24eda71649140949332jinfowomenblackcyclingsportsshorts1.jpg,60,3.2,Pack Of 3 Black beige and white solid midrise cycling biker shorts has slipon closureRegular Fit br The model height 58 is wearing a size 28CottonbrMachine Wash,body or garment size tofit denotes body measurements in character na closure slipon fabric cotton fabric 2 na fabric type na fit regular fit knit or woven knitted length above knee main trend new basics multipack set 3 number of pockets na occasion sports pattern solid print or pattern type solid sport cycling sport team na surface styling na sustainable regular technology na type biker shorts waist rise midrise wash care machine wash,AVERAGE,Medium
P1279,Tokyo Talkies Women Black Solid Casual-Fit A-Line Midi Skirt,1099.0,Black,TOKYO TALKIES,http://assets.myntassets.com/assets/images/15038606/2021/8/5/8c546b2f-a9f8-4625-bae9-ff2482bfeeeb1628149838046skirts1.jpg,210,4.0,PBLACK SOLID CASUALFIT ALINE MIDI SKIRT WITH TIEUP DETAIL HAS A WAISTBAND WITH SLIPON CLOSURE AND A FLARED HEMPPVISCOSEBRMACHINEWASHPPCASUALFITBRTHE MODEL HEIGHT 58 IS WEARING SIZE 28P,addons na body shape id 443324333424 body or garment size tofit denotes body measurements in character na closure slipon fabric viscose rayon fabric type na hemline flared knit or woven woven length midi lining na main trend new basics number of pockets na occasion casual pattern solid print or pattern type solid slit detail no slit sub trend new basics surface styling tieups sustainable regular transparency opaque type aline wash care machine wash,GOOD,Medium
P1280,Revolution Women Black Solid Slim Fit Cycling Shorts,1599.0,Black,REVOLUTION,http://assets.myntassets.com/assets/images/12419386/2020/9/16/b6847e43-c3d9-4f6c-8eec-31050414d3f31600254610875-revolution-women-shorts-8351600254608745-1.jpg,1100,4.4,BLACK SOLID HIGHRISE KNITTED CYCLING SHORTS HAS AN ELASTICATED WAISTBAND 2 POCKETS AND SLIPON CLOSURECOTTONNBSPBRMACHINEWASHSLIM FITBRTHE MODEL HEIGHT 58 IS WEARING A SIZE 32,body or garment size tofit denotes body measurements in closure slipon fabric cotton fabric 2 na fit slim fit knit or woven knitted length above knee main trend new basics number of pockets 2 occasion casual pattern solid print or pattern type solid sport na surface styling na technology na type regular shorts waist rise highrise wash care machine wash,GOOD,Medium
P1281,Sassafras Yellow Accordian Pleated Satin Finish Maxi Flared Skirt,1999.0,Yellow,SASSAFRAS,http://assets.myntassets.com/assets/images/10861466/2019/11/5/4a238725-1867-4bb3-bb69-fc0bba34d6031572950449488-sassafras-women-skirts-701572950446294-1.jpg,3200,4.3,Yellow solid accordion pleats satin finish woven flared maxi skirt has an partially elasticated waistband with zip closure attached lining flared hem100 polyesterbrDry CleanThe model height 58 is wearing a size 28,addons na body shape id 324333424 body or garment size tofit denotes body measurements in character na closure zip fabric type satin hemline flared knit or woven woven length maxi lining has a lining main trend new basics number of pockets na occasion casual pattern solid print or pattern type solid slit detail na sub trend new basics surface styling gathered or pleated sustainable regular transparency opaque type flared wash care dry clean,GOOD,Medium
P1282,High Star Grey Denim Stretchable Skirt,1199.0,Grey,HIGH STAR,http://assets.myntassets.com/assets/images/productimage/2021/5/11/fbc4723c-07c7-4798-9c1c-aafca67055451620709621287-1.jpg,870,4.3,Grey solid denim skirt has a waistband with button and zip closure belt loops 5 pockets straight hempThe model height 58 is wearing a size Spp85 Cotton 13 Polyester 2 ElastanebrMachinewashp,addons na body shape id 424 body or garment size tofit denotes body measurements in character na closure button contact brand or retailer for presales product queries mrrohit mirchandani mobno7208331311 fabric type denim hemline straight knit or woven woven length mini lining na main trend frayed denim number of pockets 2 occasion casual pattern solid print or pattern type solid slit detail no slit sub trend new basics surface styling na sustainable regular transparency opaque type pencil wash care machine wash,GOOD,Medium
P1283,Tokyo Talkies Women Blue High-Rise Shorts,1999.0,Blue,TOKYO TALKIES,http://assets.myntassets.com/assets/images/17602874/2022/3/21/336b4530-1140-4ddb-843e-8773d82c990f1647880959591tokyotalkieswomenbluehigh-riseshorts1.jpg,60,4.7,Blue solid highrise regular shortsbr2 pocketsbrButton closureRegular Fit br The model height 58 is wearing a size 28Cotton lycrabrMachine wash,body or garment size tofit denotes body measurements in character na closure button fabric cotton fabric 2 na fabric type na fit regular fit knit or woven woven length knee length main trend new basics multipack set na number of pockets 2 occasion casual pattern solid print or pattern type solid sport na sport team na surface styling na sustainable regular technology na type regular shorts waist rise highrise wash care machine wash,GOOD,Medium
P1284,Vishudh White & Grey Striped Pure Cotton Flared Maxi Skirt,1649.0,White,VISHUDH,http://assets.myntassets.com/assets/images/productimage/2021/3/25/a084c135-726e-4371-b501-d281ee404c751616657894102-1.jpg,1010,4.2,pwhite and grey striped regularfit flared maxi skirt has a waistband with a drawstring closure flared hempp100 cottonbrmachinewashppregularfitbrthe model height 58 is wearing a size 28p,addons na body shape id 324424 body or garment size tofit denotes body measurements in character na closure drawstring fabric type na hemline flared knit or woven woven length maxi lining na main trend new basics number of pockets na occasion ethnic pattern striped print or pattern type striped slit detail na sub trend ethnic print surface styling na sustainable regular transparency opaque type straight wash care machine wash,GOOD,Medium
P1285,Nan,1999.0,Nan,ALL ABOUT YOU,http://assets.myntassets.com/assets/images/16931760/2022/3/2/5ad5b28a-0bbc-4472-b371-b8f116faa4c71646216492609-all-about-you-women-skirts-3701646216491899-1.jpg,70,4.4,maroon self designnbsptiered flared maxi skirt has a slipon closure flared hem100 polyesterbrmachine wash,addons na body shape id 324333424 body or garment size tofit denotes body measurements in character na closure slipon fabric polyester fabric type na hemline flared knit or woven knitted length maxi lining na main trend new basics number of pockets na occasion casual pattern self design print or pattern type self design slit detail no slit sub trend new basics surface styling na sustainable regular transparency opaque type flared wash care machine wash wedding na,GOOD,Medium
